organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank
Actinomyces turicensis ACS-279-V-Col4,Actinomyces turicensis ACS-279-V-Col4 (883077.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,591.0,1129.0,887.0,chenry,04/15/16,883077.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia turicensis,Schaalia_turicensis.json,Actinomyces turicensis ACS-279-V-Col4,kb|g.28017,Schaalia_turicensis,species
Schlesneria paludicola DSM 18645,Schlesneria paludicola DSM 18645 (1123242.3),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,971.0,1440.0,1113.0,,,1123242.0,Kbase,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Schlesneria,Schlesneria paludicola,Schlesneria_paludicola.json,Schlesneria paludicola DSM 18645,kb|g.24393,Schlesneria_paludicola,species
Selenomonas ruminantium AC2024,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,699.0,1260.0,940.0,Laura Kutt,04/18/16,1392501.0,Kbase,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas ruminantium,Selenomonas_ruminantium.json,Selenomonas ruminantium AC2024,kb|g.242786,Selenomonas_ruminantium,species
Serratia liquefaciens ATCC 27592,,Facultative anaerobe,"Fermentative, respiratory",Negative,,1319.0,1816.0,1249.0,Laura Kutt,04/18/16,1346614.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia liquefaciens,Serratia_liquefaciens.json,Serratia liquefaciens ATCC 27592,kb|g.210587,Serratia_liquefaciens,species
Serratia marcescens Db11,Serratia marcescens Db11 (615.1),Facultative anaerobe,"fermentative, respiratory",Negative,,1335.0,1839.0,1232.0,,,273526.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Serratia_marcescens.json,Serratia marcescens Db11,kb|g.245248,Serratia_marcescens,species
Shigella dysenteriae Sd197,Shigella dysenteriae Sd197 (300267.13),Facultative anaerobe,"fermentative, respiratory",Negative,,1186.0,1691.0,1163.0,,,300267.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,Shigella_dysenteriae.json,Shigella dysenteriae Sd197,kb|g.231,Shigella_dysenteriae,species
Shigella flexneri 2002017,Shigella flexneri 2002017 (591020.3),Facultative anaerobe,"fermentative, respiratory",Negative,,1258.0,1756.0,1192.0,,,591020.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella_flexneri.json,Shigella flexneri 2002017,kb|g.2556,Shigella_flexneri,species
Shigella sonnei Ss046,Shigella sonnei Ss046 (300269.12),Facultative anaerobe,"fermentative, respiratory",Negative,Opportunistic pathogen,1222.0,1733.0,1192.0,,,300269.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,Shigella_sonnei.json,Shigella sonnei Ss046,kb|g.720,Shigella_sonnei,species
Silanimonas lenta DSM 16282,,Aerobe,Saccharolytic,Negative,Pathogen,613.0,1218.0,1011.0,Laura Kutt,04/19/16,1123253.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,Silanimonas lenta,Silanimonas_lenta.json,Silanimonas lenta DSM 16282,kb|g.207277,Silanimonas_lenta,species
Slackia exigua ATCC 700122,Slackia exigua ATCC 700122 (649764.3),Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,,542.0,1042.0,887.0,chenry,04/15/16,649764.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia exigua,Slackia_exigua.json,Slackia exigua ATCC 700122,kb|g.2778,Slackia_exigua,species
Slackia piriformis YIT 12062,Slackia piriformis YIT 12062 (742818.3),Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,,556.0,1007.0,849.0,chenry,04/15/16,742818.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia piriformis,Slackia_piriformis.json,Slackia piriformis YIT 12062,kb|g.27488,Slackia_piriformis,species
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,Laura Kutt,,,ModelSEED,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium moorei,Solobacterium_moorei.json,,,Solobacterium_moorei,species
Sphingomonas paucimobilis HER1398,,Anaerobe,Asaccharolytic,Negative,,755.0,1281.0,1045.0,,,1346330.0,ModelSEED,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium paucimobilis,Sphingobacterium_paucimobilis.json,Sphingomonas paucimobilis HER1398,kb|g.210585,Sphingobacterium_paucimobilis,species
Spirosoma linguale DSM 74,Spirosoma linguale DSM 74 (504472.7),Aerobe,Saccharolytic,Negative,,1048.0,1475.0,1152.0,,,504472.0,ModelSEED,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma linguale,Spirosoma_linguale.json,Spirosoma linguale DSM 74,kb|g.1845,Spirosoma_linguale,species
Staphylococcus arlettae CVD059,Staphylococcus arlettae CVD059 (1212545.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,913.0,1453.0,1095.0,Laura Kutt,04/18/16,1212545.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,Staphylococcus_arlettae.json,Staphylococcus arlettae CVD059,kb|g.25560,Staphylococcus_arlettae,species
Staphylococcus aureus subsp. aureus USA300_FPR3757,Staphylococcus aureus subsp. aureus USA300_FPR3757 (451515.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,874.0,1437.0,1061.0,,,451515.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus_aureus.json,Staphylococcus aureus subsp. aureus USA300_FPR3757,kb|g.1556,Staphylococcus_aureus,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,,,,Laura Kutt,,,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus capitis,Staphylococcus_capitis.json,,,Staphylococcus_capitis,species
Staphylococcus cohnii hu-01,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,1132.0,1601.0,1178.0,Laura Kutt,04/18/16,1415164.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus cohnii,Staphylococcus_cohnii.json,Staphylococcus cohnii hu-01,kb|g.213837,Staphylococcus_cohnii,species
Staphylococcus epidermidis ATCC 12228,Staphylococcus epidermidis ATCC 12228 (176280.1),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,850.0,1393.0,1041.0,Laura Kutt,04/18/16,176280.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,Staphylococcus_epidermidis.json,Staphylococcus epidermidis ATCC 12228,kb|g.165,Staphylococcus_epidermidis,species
Staphylococcus equorum subsp. equorum Mu2,Staphylococcus equorum subsp. equorum Mu2 (1159488.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,943.0,1464.0,1089.0,Laura Kutt,04/18/16,1159488.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,Staphylococcus_equorum.json,Staphylococcus equorum subsp. equorum Mu2,kb|g.24945,Staphylococcus_equorum,species
Staphylococcus haemolyticus JCSC1435,Staphylococcus haemolyticus JCSC1435 (279808.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,820.0,1381.0,1039.0,Laura Kutt,04/18/16,279808.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus,Staphylococcus_haemolyticus.json,Staphylococcus haemolyticus JCSC1435,kb|g.652,Staphylococcus_haemolyticus,species
Staphylococcus hominis subsp. hominis C80,Staphylococcus hominis subsp. hominis C80 (435837.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,785.0,1354.0,1037.0,Laura Kutt,04/18/16,435837.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis,Staphylococcus_hominis.json,Staphylococcus hominis subsp. hominis C80,kb|g.1455,Staphylococcus_hominis,species
Staphylococcus lugdunensis HKU09-01,Staphylococcus lugdunensis HKU09-01 (698737.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,841.0,1389.0,1032.0,Laura Kutt,04/18/16,698737.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,Staphylococcus_lugdunensis.json,Staphylococcus lugdunensis HKU09-01,kb|g.3016,Staphylococcus_lugdunensis,species
Staphylococcus pasteuri SP1,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,774.0,1399.0,1046.0,Laura Kutt,04/18/16,1276282.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pasteuri,Staphylococcus_pasteuri.json,Staphylococcus pasteuri SP1,kb|g.208650,Staphylococcus_pasteuri,species
Staphylococcus pettenkoferi VCU012,Staphylococcus pettenkoferi VCU012 (904314.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,823.0,1344.0,1042.0,Laura Kutt,04/18/16,904314.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pettenkoferi,Staphylococcus_pettenkoferi.json,Staphylococcus pettenkoferi VCU012,kb|g.28242,Staphylococcus_pettenkoferi,species
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 (342451.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,885.0,1409.0,1065.0,Laura Kutt,04/18/16,342451.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,Staphylococcus_saprophyticus.json,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,kb|g.966,Staphylococcus_saprophyticus,species
Staphylococcus sciuri subsp. sciuri Z8,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,887.0,1446.0,1097.0,Laura Kutt,04/18/16,1232666.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sciuri,Staphylococcus_sciuri.json,Staphylococcus sciuri subsp. sciuri Z8,kb|g.244081,Staphylococcus_sciuri,species
Staphylococcus simulans ACS-120-V-Sch1,Staphylococcus simulans ACS-120-V-Sch1 (883166.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,889.0,1447.0,1083.0,Laura Kutt,04/18/16,883166.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus simulans,Staphylococcus_simulans.json,Staphylococcus simulans ACS-120-V-Sch1,kb|g.28050,Staphylococcus_simulans,species
Staphylococcus vitulinus F1028,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,830.0,1396.0,1070.0,Laura Kutt,04/18/16,1167632.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus vitulinus,Staphylococcus_vitulinus.json,Staphylococcus vitulinus F1028,kb|g.25042,Staphylococcus_vitulinus,species
Staphylococcus warneri SG1,Staphylococcus warneri SG1 (1194526.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,869.0,1418.0,1059.0,Laura Kutt,04/18/16,1194526.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri,Staphylococcus_warneri.json,Staphylococcus warneri SG1,kb|g.31042,Staphylococcus_warneri,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,,,,Laura Kutt,,,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus_xylosus.json,,,Staphylococcus_xylosus,species
Stenotrophomonas maltophilia D457,Stenotrophomonas maltophilia D457 (1163399.5),Obligate anaerobe,Asaccharolytic,Negative,,904.0,1377.0,1077.0,Laura Kutt,04/19/16,1163399.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,Stenotrophomonas_maltophilia.json,Stenotrophomonas maltophilia D457,kb|g.25005,Stenotrophomonas_maltophilia,species
Stenotrophomonas rhizophila PCA13,,Obligate anaerobe,Asaccharolytic,Negative,,805.0,1415.0,1114.0,Laura Kutt,04/19/16,1255680.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas rhizophila,Stenotrophomonas_rhizophila.json,Stenotrophomonas rhizophila PCA13,kb|g.245260,Stenotrophomonas_rhizophila,species
Streptococcus agalactiae A909,Streptococcus agalactiae A909 (205921.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,639.0,1286.0,939.0,Laura Kutt,04/18/16,205921.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,Streptococcus_agalactiae.json,Streptococcus agalactiae A909,kb|g.352,Streptococcus_agalactiae,species
Streptococcus anginosus 1_2_62CV,Streptococcus anginosus 1_2_62CV (742820.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,539.0,885.0,719.0,Ines Thiele,06/29/12,742820.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,Streptococcus_anginosus.json,Streptococcus anginosus 1_2_62CV,,Streptococcus_anginosus,species
Streptococcus australis ATCC 700641,Streptococcus australis ATCC 700641 (888833.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,640.0,1196.0,915.0,Laura Kutt,04/18/16,888833.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,Streptococcus_australis.json,Streptococcus australis ATCC 700641,kb|g.3629,Streptococcus_australis,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,,,,Laura Kutt,,,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus constellatus,Streptococcus_constellatus.json,,,Streptococcus_constellatus,species
Streptococcus cristatus ATCC 51100,Streptococcus cristatus ATCC 51100 (889201.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,560.0,1159.0,874.0,Laura Kutt,04/18/16,889201.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus,Streptococcus_cristatus.json,Streptococcus cristatus ATCC 51100,kb|g.3631,Streptococcus_cristatus,species
Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957,Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957 (663952.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,640.0,1161.0,895.0,Laura Kutt,04/18/16,663952.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae,Streptococcus_dysgalactiae.json,Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957,kb|g.2862,Streptococcus_dysgalactiae,species
Streptococcus equi subsp. equi 4047,Streptococcus equi subsp. equi 4047 (553482.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,558.0,1006.0,768.0,,,553482.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equi,Streptococcus_equi.json,Streptococcus equi subsp. equi 4047,kb|g.26915,Streptococcus_equi,species
Streptococcus equinus ATCC 9812,Streptococcus equinus ATCC 9812 (525379.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,566.0,962.0,765.0,Ines Thiele,06/29/12,525379.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equinus,Streptococcus_equinus.json,Streptococcus equinus ATCC 9812,,Streptococcus_equinus,species
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143,Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 (981539.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,711.0,1225.0,952.0,Laura Kutt,04/18/16,981539.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gallolyticus,Streptococcus_gallolyticus.json,Streptococcus gallolyticus subsp. gallolyticus ATCC 43143,kb|g.3836,Streptococcus_gallolyticus,species
Streptococcus gordonii str. Challis substr. CH1,Streptococcus gordonii str. Challis substr. CH1 (467705.8),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,636.0,1303.0,954.0,Laura Kutt,04/18/16,467705.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus gordonii,Streptococcus_gordonii.json,Streptococcus gordonii str. Challis substr. CH1,kb|g.1638,Streptococcus_gordonii,species
Streptococcus infantarius subsp. infantarius ATCC BAA-102,Streptococcus infantarius subsp. infantarius ATCC BAA-102 (471872.6),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,590.0,1213.0,913.0,Ines Thiele,06/25/12,471872.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius,Streptococcus_infantarius.json,Streptococcus infantarius subsp. infantarius ATCC BAA-102,,Streptococcus_infantarius,species
Streptococcus infantis ATCC 700779,Streptococcus infantis ATCC 700779 (889204.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,552.0,1105.0,837.0,Laura Kutt,04/18/16,889204.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantis,Streptococcus_infantis.json,Streptococcus infantis ATCC 700779,kb|g.3632,Streptococcus_infantis,species
,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,,,,Laura Kutt,04/18/16,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intermedius,Streptococcus_intermedius.json,,,Streptococcus_intermedius,species
Streptococcus lutetiensis 033,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,586.0,1164.0,888.0,Laura Kutt,04/18/16,1076934.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis,Streptococcus_lutetiensis.json,Streptococcus lutetiensis 033,kb|g.206799,Streptococcus_lutetiensis,species
Streptococcus mitis NCTC 12261,Streptococcus mitis NCTC 12261 (246201.1),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,614.0,1122.0,836.0,Laura Kutt,04/18/16,246201.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,Streptococcus_mitis.json,Streptococcus mitis NCTC 12261,kb|g.510,Streptococcus_mitis,species
Streptococcus mutans ATCC 25175,Streptococcus mutans ATCC 25175 (1257041.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,624.0,1269.0,931.0,Laura Kutt,04/18/16,1257041.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,Streptococcus_mutans.json,Streptococcus mutans ATCC 25175,kb|g.31498,Streptococcus_mutans,species
Streptococcus oralis Uo5,Streptococcus oralis Uo5 (927666.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,568.0,1161.0,869.0,Laura Kutt,04/18/16,927666.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,Streptococcus_oralis.json,Streptococcus oralis Uo5,kb|g.3717,Streptococcus_oralis,species
Streptococcus parasanguinis ATCC 903,Streptococcus parasanguinis ATCC 903 (888048.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,624.0,1174.0,888.0,Laura Kutt,04/18/16,888048.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis,Streptococcus_parasanguinis.json,Streptococcus parasanguinis ATCC 903,kb|g.3590,Streptococcus_parasanguinis,species
Streptococcus parauberis KCTC 11537,Streptococcus parauberis KCTC 11537 (936154.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,662.0,1209.0,902.0,Laura Kutt,04/18/16,936154.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Streptococcus_parauberis.json,Streptococcus parauberis KCTC 11537,kb|g.3766,Streptococcus_parauberis,species
Streptococcus peroris ATCC 700780,Streptococcus peroris ATCC 700780 (888746.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,526.0,1093.0,835.0,Laura Kutt,04/18/16,888746.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus peroris,Streptococcus_peroris.json,Streptococcus peroris ATCC 700780,kb|g.3605,Streptococcus_peroris,species
Streptococcus pneumoniae G54,Streptococcus pneumoniae G54 (512566.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,649.0,1207.0,888.0,,,512566.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,Streptococcus_pneumoniae.json,Streptococcus pneumoniae G54,kb|g.1878,Streptococcus_pneumoniae,species
Streptococcus pseudopneumoniae IS7493,Streptococcus pseudopneumoniae IS7493 (1054460.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Pathogen,598.0,1129.0,855.0,Laura Kutt,04/18/16,1054460.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pseudopneumoniae,Streptococcus_pseudopneumoniae.json,Streptococcus pseudopneumoniae IS7493,kb|g.23632,Streptococcus_pseudopneumoniae,species
Streptococcus pyogenes MGAS9429,Streptococcus pyogenes MGAS9429 (370551.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,551.0,1128.0,838.0,,,370551.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,Streptococcus_pyogenes.json,Streptococcus pyogenes MGAS9429,kb|g.1107,Streptococcus_pyogenes,species
Streptococcus salivarius JIM8777,Streptococcus salivarius JIM8777 (347253.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,605.0,1190.0,881.0,Laura Kutt,04/18/16,347253.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,Streptococcus_salivarius.json,Streptococcus salivarius JIM8777,kb|g.26457,Streptococcus_salivarius,species
Streptococcus sanguinis SK36,Streptococcus sanguinis SK36 (388919.8),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,702.0,1296.0,979.0,Laura Kutt,04/18/16,388919.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,Streptococcus_sanguinis.json,Streptococcus sanguinis SK36,kb|g.1182,Streptococcus_sanguinis,species
Streptococcus sp. 2_1_36FAA,Streptococcus sp. 2_1_36FAA (469609.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,580.0,1892.0,1228.0,Ines Thiele,06/29/12,469609.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. 2_1_36FAA,Streptococcus_sp__2_1_36FAA.json,Streptococcus sp. 2_1_36FAA,,Streptococcus_sp__2_1_36FAA,species
Streptococcus sp. I-G2,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,550.0,992.0,774.0,Eugen Bauer,08/03/14,1156431.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. I-G2,Streptococcus_sp__I_G2.json,Streptococcus sp. I-G2,,Streptococcus_sp__I_G2,species
Streptococcus sp. I-P16,,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,582.0,1029.0,807.0,Eugen Bauer,08/03/14,1156433.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. I-P16,Streptococcus_sp__I_P16.json,Streptococcus sp. I-P16,,Streptococcus_sp__I_P16,species
Streptococcus thermophilus LMG 18311,Streptococcus thermophilus LMG 18311 (264199.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,570.0,954.0,748.0,Ines Thiele,08/07/12,264199.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Streptococcus_thermophilus.json,Streptococcus thermophilus LMG 18311,,Streptococcus_thermophilus,species
Streptococcus thoraltensis DSM 12221,Streptococcus thoraltensis DSM 12221 (1123318.3),Obligate anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,685.0,1232.0,904.0,Laura Kutt,04/18/16,1123318.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thoraltensis,Streptococcus_thoraltensis.json,Streptococcus thoraltensis DSM 12221,kb|g.29709,Streptococcus_thoraltensis,species
Streptococcus uberis 0140J,Streptococcus uberis 0140J (218495.3),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,636.0,1245.0,923.0,Laura Kutt,04/18/16,218495.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,Streptococcus_uberis.json,Streptococcus uberis 0140J,kb|g.405,Streptococcus_uberis,species
